data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
2024-09-03 00:00:00,140,6.0,38.0,55.0,71.0,80.0,85.0,23,24
2024-09-05 00:00:00,141,4.0,5.0,29.0,32.0,69.0,89.0,15,46
2024-09-06 00:00:00,142,2.0,26.0,37.0,38.0,69.0,85.0,66,10
2024-09-07 00:00:00,143,1.0,16.0,64.0,70.0,72.0,82.0,34,86
2024-09-10 00:00:00,144,9.0,11.0,27.0,53.0,63.0,78.0,8,88
2024-09-12 00:00:00,145,29.0,35.0,65.0,67.0,70.0,80.0,10,79
2024-09-13 00:00:00,146,2.0,12.0,16.0,18.0,59.0,61.0,56,4
2024-09-14 00:00:00,147,1.0,31.0,55.0,65.0,76.0,88.0,52,34
2024-09-17 00:00:00,148,17.0,28.0,62.0,64.0,74.0,84.0,88,90
2024-09-19 00:00:00,149,3.0,13.0,44.0,45.0,56.0,61.0,33,34
2024-09-20 00:00:00,150,14.0,22.0,42.0,44.0,47.0,79.0,85,29
2024-09-21 00:00:00,151,8.0,33.0,35.0,39.0,78.0,83.0,52,72
2024-09-24 00:00:00,152,2.0,25.0,27.0,50.0,88.0,90.0,19,86
2024-09-26 00:00:00,153,2.0,13.0,14.0,41.0,52.0,79.0,84,12
2024-09-27 00:00:00,154,4.0,14.0,42.0,46.0,53.0,60.0,31,85
2024-09-28 00:00:00,155,4.0,8.0,28.0,33.0,34.0,57.0,27,88
2024-10-01 00:00:00,156,57.0,60.0,68.0,70.0,80.0,83.0,25,64
2024-10-03 00:00:00,157,26.0,27.0,40.0,51.0,67.0,86.0,4,82
2024-10-04 00:00:00,158,5.0,43.0,57.0,58.0,72.0,87.0,3,72
2024-10-05 00:00:00,159,13.0,41.0,47.0,58.0,81.0,84.0,4,81
2024-10-08 00:00:00,160,6.0,21.0,25.0,59.0,63.0,68.0,8,70
2024-10-10 00:00:00,161,6.0,48.0,64.0,80.0,87.0,89.0,43,82
2024-10-11 00:00:00,162,31.0,34.0,49.0,66.0,75.0,88.0,1,16
2024-10-12 00:00:00,163,11.0,13.0,16.0,22.0,42.0,51.0,37,47
2024-10-15 00:00:00,164,1.0,23.0,44.0,45.0,47.0,60.0,14,19
2024-10-17 00:00:00,165,2.0,23.0,24.0,42.0,46.0,88.0,61,27
2024-10-18 00:00:00,166,19.0,39.0,41.0,42.0,45.0,88.0,40,27
2024-10-19 00:00:00,167,14.0,67.0,73.0,86.0,89.0,90.0,8,77
2024-10-22 00:00:00,168,13.0,23.0,37.0,43.0,64.0,79.0,84,20
2024-10-24 00:00:00,169,7.0,21.0,23.0,28.0,29.0,31.0,20,66
2024-10-25 00:00:00,170,5.0,11.0,39.0,41.0,62.0,80.0,78,33
2024-10-26 00:00:00,171,14.0,31.0,40.0,42.0,52.0,65.0,15,69
2024-10-29 00:00:00,172,6.0,17.0,26.0,35.0,57.0,64.0,14,23
2024-10-31 00:00:00,173,18.0,40.0,55.0,58.0,71.0,85.0,46,46
2024-11-02 00:00:00,174,3.0,19.0,27.0,43.0,61.0,77.0,80,41
2024-11-04 00:00:00,175,27.0,32.0,33.0,44.0,60.0,89.0,52,5
2024-11-05 00:00:00,176,32.0,43.0,53.0,75.0,77.0,88.0,81,79
2024-11-07 00:00:00,177,1.0,50.0,68.0,75.0,81.0,84.0,8,25
2024-11-08 00:00:00,178,13.0,22.0,49.0,58.0,64.0,75.0,20,16
2024-11-09 00:00:00,179,26.0,36.0,43.0,51.0,63.0,89.0,21,57
2024-11-12 00:00:00,180,13.0,28.0,29.0,32.0,39.0,81.0,82,36
2024-11-14 00:00:00,181,36.0,46.0,69.0,70.0,73.0,82.0,26,84
2024-11-15 00:00:00,182,2.0,4.0,5.0,42.0,53.0,83.0,23,43
2024-11-16 00:00:00,183,52.0,56.0,66.0,68.0,70.0,73.0,90,12
2024-11-19 00:00:00,184,20.0,34.0,36.0,68.0,72.0,74.0,44,49
2024-11-21 00:00:00,185,4.0,7.0,20.0,24.0,41.0,67.0,85,35
2024-11-22 00:00:00,186,6.0,26.0,51.0,53.0,78.0,89.0,79,70
2024-11-23 00:00:00,187,15.0,22.0,29.0,32.0,35.0,67.0,87,23
2024-11-26 00:00:00,188,13.0,23.0,26.0,31.0,46.0,89.0,43,24
2024-11-28 00:00:00,189,3.0,8.0,37.0,54.0,74.0,84.0,26,26
2024-11-29 00:00:00,190,21.0,33.0,44.0,55.0,75.0,80.0,53,64
2024-11-30 00:00:00,191,27.0,48.0,50.0,69.0,74.0,81.0,13,36
2024-12-03 00:00:00,192,4.0,17.0,37.0,56.0,73.0,90.0,46,11
2024-12-05 00:00:00,193,4.0,42.0,45.0,72.0,82.0,84.0,25,10
2024-12-06 00:00:00,194,21.0,48.0,60.0,61.0,67.0,71.0,86,22
2024-12-07 00:00:00,195,21.0,30.0,55.0,60.0,70.0,75.0,13,25
2024-12-10 00:00:00,196,5.0,54.0,68.0,69.0,71.0,81.0,30,56
2024-12-12 00:00:00,197,20.0,61.0,76.0,78.0,85.0,87.0,44,72
2024-12-13 00:00:00,198,16.0,42.0,54.0,55.0,65.0,83.0,27,90
2024-12-14 00:00:00,199,34.0,50.0,52.0,59.0,70.0,83.0,13,74
2024-12-17 00:00:00,200,3.0,25.0,49.0,58.0,64.0,66.0,46,77
2024-12-19 00:00:00,201,2.0,4.0,8.0,20.0,22.0,76.0,72,60
2024-12-20 00:00:00,202,17.0,35.0,43.0,56.0,63.0,85.0,23,74
2024-12-21 00:00:00,203,23.0,25.0,53.0,55.0,71.0,79.0,63,6
2024-12-24 00:00:00,204,6.0,18.0,27.0,30.0,52.0,56.0,83,80
2024-12-27 00:00:00,205,9.0,13.0,15.0,43.0,53.0,68.0,58,69
2024-12-28 00:00:00,206,28.0,29.0,46.0,68.0,81.0,88.0,79,40
2024-12-30 00:00:00,207,3.0,8.0,18.0,25.0,58.0,75.0,12,54
2024-12-31 00:00:00,208,5.0,16.0,23.0,40.0,47.0,80.0,17,13
data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
2023-01-03 00:00:00,1,8.0,10.0,30.0,34.0,51.0,71.0,20,27
2023-01-05 00:00:00,2,5.0,9.0,13.0,15.0,50.0,64.0,68,43
2023-01-07 00:00:00,3,17.0,41.0,54.0,60.0,67.0,86.0,51,12
2023-01-10 00:00:00,4,21.0,24.0,31.0,32.0,56.0,83.0,78,40
2023-01-12 00:00:00,5,9.0,10.0,22.0,41.0,44.0,85.0,5,51
2023-01-14 00:00:00,6,37.0,44.0,52.0,58.0,74.0,78.0,65,67
2023-01-17 00:00:00,7,9.0,10.0,14.0,40.0,60.0,68.0,21,9
